sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Result
0,15,0,1,1,1,2,at_home,1,0,0,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2,3
1,16,0,1,1,4,4,teacher,teacher,0,0,1,1,0,0,1,0,0,1,0,1,1,3,3,2,2,1,5,0,1
1,15,0,0,0,2,1,services,1,0,0,4,1,3,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0,3
1,18,0,0,1,1,1,1,1,0,0,1,1,3,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0,1
1,16,0,0,1,2,1,at_home,1,0,0,1,1,1,0,0,0,1,1,1,0,1,4,4,4,3,5,5,6,4
0,15,1,1,1,3,3,services,services,3,1,2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8,3
1,19,0,1,1,3,2,services,at_home,2,0,1,1,3,0,1,0,0,1,0,1,1,4,5,4,1,1,4,0,1
0,17,0,1,1,4,4,1,teacher,0,0,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0,3
1,15,1,1,1,2,3,at_home,services,0,0,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,2,2
1,17,1,0,1,1,2,1,1,3,0,1,1,0,0,0,0,0,1,1,0,0,2,2,2,3,3,5,8,4
0,18,1,1,1,1,1,at_home,1,0,0,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6,3
1,16,1,1,1,2,2,at_home,1,0,0,3,1,0,0,0,0,0,0,1,0,0,4,2,2,1,2,3,2,4
1,16,0,1,1,3,3,1,services,0,1,1,2,1,0,1,1,0,1,1,1,1,4,5,5,4,4,5,4,3
1,17,1,0,1,2,1,at_home,1,0,0,2,1,2,0,0,0,1,1,0,1,1,3,3,2,2,2,5,0,1
1,15,1,1,1,3,2,1,1,0,0,2,2,2,1,1,0,0,1,1,1,1,4,4,4,1,4,3,6,2
1,16,0,0,1,1,2,1,1,0,0,2,1,1,0,0,0,1,1,1,0,0,4,4,4,2,4,5,0,1
1,17,0,1,1,1,3,at_home,services,0,1,1,1,0,0,0,0,0,1,0,1,0,5,3,3,1,4,2,2,3
1,17,1,0,1,1,1,1,services,0,0,4,2,3,0,0,0,1,1,0,0,1,5,3,5,1,5,5,0,2
1,16,0,1,1,3,2,services,services,0,0,2,1,1,0,1,0,1,0,0,0,0,4,5,2,1,1,2,16,3
1,16,0,1,1,2,2,1,1,0,1,1,2,0,0,0,0,0,1,0,1,0,4,3,5,2,4,4,4,3
0,16,0,1,1,4,2,health,services,2,1,1,2,0,0,0,1,0,1,1,1,1,4,2,3,1,1,3,0,4
0,16,0,1,1,2,2,1,1,2,0,1,2,0,0,1,1,0,0,1,1,0,5,1,5,1,1,4,0,1
0,16,0,1,1,4,4,health,health,3,0,1,2,0,0,1,1,0,1,1,1,1,4,4,2,1,1,3,0,4
1,16,0,1,1,3,4,1,1,0,1,3,1,2,0,1,0,1,0,1,1,0,3,4,5,2,4,2,0,1
1,16,0,1,1,1,0,1,1,3,0,2,2,0,0,1,1,1,1,1,1,1,4,3,2,1,1,3,2,4
1,17,0,0,1,4,4,teacher,1,3,0,1,2,0,0,1,1,1,1,1,1,0,4,4,4,1,3,5,0,3
0,16,0,1,1,1,3,at_home,services,2,0,1,2,3,0,0,0,1,0,1,1,1,4,3,5,1,1,3,0,1
0,16,0,0,1,3,3,1,1,3,0,2,2,0,0,1,1,1,1,1,1,0,4,4,5,1,1,4,4,3
1,17,0,0,1,4,3,teacher,1,0,0,2,2,0,0,0,1,1,1,1,1,0,4,4,4,4,4,4,4,3
0,16,0,1,1,2,2,services,1,3,0,2,2,0,0,0,1,1,0,1,1,0,3,4,4,1,4,5,2,3
1,17,0,1,1,3,3,1,1,3,1,1,2,0,0,0,0,1,0,1,1,0,4,3,4,1,4,4,4,2
1,16,1,1,1,4,2,teacher,services,1,0,1,1,0,0,1,0,1,1,1,1,1,4,3,3,3,4,3,10,2
1,17,0,1,1,4,3,1,1,0,0,1,2,0,0,1,0,1,1,1,1,1,5,2,3,1,1,2,4,3
1,16,0,1,1,4,3,teacher,1,2,0,1,2,0,0,1,1,1,1,1,1,0,3,4,3,2,3,3,10,2
1,16,0,1,1,3,3,services,1,2,0,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,3,2,3
0,17,0,1,1,2,4,services,services,3,1,1,2,0,0,1,0,1,1,1,0,0,5,4,2,2,3,5,0,5
0,17,0,0,1,3,3,1,1,3,0,1,2,0,0,1,0,1,1,1,1,1,5,3,3,2,3,1,56,2
0,16,0,1,1,3,2,1,1,3,0,1,2,0,0,1,1,0,1,1,1,0,1,2,2,1,2,1,14,3
1,17,0,1,1,3,3,services,services,1,0,1,2,0,0,1,0,1,1,1,1,1,4,3,4,2,3,4,12,3
1,16,0,1,1,1,2,services,services,1,0,1,1,0,0,1,1,1,1,1,1,1,3,3,3,1,2,3,2,3
1,16,0,0,1,2,1,1,1,0,0,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,5,0,4
0,17,0,1,0,3,3,health,1,3,0,1,2,0,0,1,0,0,0,1,1,1,3,3,3,1,3,3,6,2
1,17,1,1,1,1,2,at_home,1,2,0,1,2,0,0,0,0,0,1,1,0,0,3,1,3,1,5,3,4,3
0,16,0,1,1,2,3,services,services,0,0,1,2,0,0,0,0,0,1,1,1,0,4,3,3,1,1,2,10,3
0,17,0,1,1,1,1,at_home,services,0,0,1,2,0,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0,2
1,17,0,1,1,1,2,at_home,services,1,1,2,2,0,0,0,1,1,0,1,1,0,4,4,4,4,5,5,12,2
1,16,1,1,1,3,3,services,services,3,0,1,1,0,0,1,0,1,1,1,1,0,4,3,2,3,4,5,8,3
1,16,0,1,1,2,3,1,1,2,1,2,1,0,0,0,0,0,1,1,1,0,5,3,3,1,1,3,0,4
0,17,0,0,1,2,4,services,services,0,1,1,2,0,0,0,0,1,1,1,1,1,4,3,2,1,1,5,0,4
1,17,0,1,1,4,4,services,teacher,2,0,1,1,0,0,0,0,0,1,1,1,0,5,2,3,1,2,5,4,4
1,16,1,0,1,3,3,teacher,1,2,1,3,1,0,0,1,1,1,1,1,1,0,3,3,4,3,5,3,8,3
0,17,0,1,1,4,4,services,teacher,2,0,2,1,1,0,1,0,0,1,1,1,0,4,2,4,2,3,2,24,5
0,16,0,0,1,4,4,teacher,teacher,3,0,1,2,0,0,1,1,0,1,1,1,0,4,5,2,1,2,3,0,3
0,16,0,1,1,4,3,health,1,2,0,1,2,0,0,1,0,1,1,1,1,0,4,3,5,1,5,2,2,4
0,16,0,1,1,2,3,1,1,3,0,1,2,0,1,1,1,1,1,1,0,0,4,4,3,1,3,4,6,3
0,17,0,1,1,1,1,1,1,0,0,1,2,0,0,1,1,0,0,1,0,0,4,4,4,1,3,1,4,3
0,17,1,1,1,2,2,1,1,3,0,1,1,0,0,1,0,0,1,1,1,0,5,3,2,1,2,3,18,2
0,16,1,1,1,2,2,services,services,3,0,2,4,0,0,1,1,1,0,1,1,0,5,3,5,1,1,5,6,3
0,17,0,1,1,3,4,at_home,services,2,0,1,3,1,0,1,1,0,1,1,1,1,4,4,3,3,4,5,28,3
0,16,0,1,0,3,1,services,1,0,0,1,2,3,0,1,1,0,1,1,1,0,2,3,3,2,2,4,5,2
0,16,0,1,1,4,3,teacher,1,1,0,1,2,0,0,0,1,1,1,1,1,1,1,3,2,1,1,1,10,3
0,16,0,1,1,1,1,at_home,1,2,0,2,1,0,0,1,1,0,1,1,0,0,4,3,2,1,4,5,6,3
0,17,1,1,1,4,3,teacher,1,3,0,2,3,0,0,1,1,1,1,1,1,1,4,4,2,1,1,4,6,2
0,19,0,1,1,3,3,1,1,3,1,1,4,0,0,1,1,1,1,1,1,0,4,3,3,1,2,3,10,2
1,17,0,0,1,4,4,services,1,2,0,1,2,0,0,1,1,0,1,1,1,1,5,3,5,4,5,3,13,3
0,16,0,1,0,2,2,1,1,3,0,1,2,0,1,1,1,0,1,1,1,0,3,3,4,1,1,4,0,4
1,18,0,1,1,2,2,services,1,2,0,1,2,1,0,1,1,1,1,1,1,0,4,4,4,2,4,5,15,2
0,17,1,0,1,4,4,services,1,1,0,1,1,0,0,1,1,0,1,1,0,0,5,2,1,1,2,3,12,3
0,17,0,0,1,3,2,1,1,3,0,2,2,0,0,0,1,0,1,1,1,0,4,4,4,1,3,1,2,4
0,17,0,1,1,4,3,1,1,3,0,1,2,2,0,0,1,0,1,1,1,1,3,4,5,2,4,1,22,1
1,18,0,0,1,3,3,services,health,2,1,1,2,1,0,1,1,0,1,1,1,0,3,2,4,2,4,4,13,2
0,17,0,1,1,2,3,at_home,1,2,1,2,1,0,0,1,1,0,1,1,0,0,3,3,3,1,4,3,3,2
0,17,0,1,1,2,2,at_home,at_home,0,0,1,3,0,0,1,1,1,1,1,1,0,4,3,3,1,1,4,4,3
0,17,1,1,1,2,1,at_home,services,3,0,2,2,0,0,1,0,1,1,1,1,0,4,2,5,1,2,5,2,2
0,17,0,1,1,1,1,at_home,1,3,0,1,3,1,0,1,0,1,1,1,0,1,4,3,4,1,1,5,0,1
0,16,0,1,1,2,3,services,teacher,1,0,1,2,0,1,0,0,0,1,1,1,0,2,3,1,1,1,3,2,5
1,18,0,1,1,2,2,1,1,2,0,2,2,0,0,1,1,0,1,1,1,0,3,3,3,5,5,4,0,4
0,16,0,1,1,4,4,teacher,services,2,0,1,3,0,0,1,0,1,0,1,1,0,5,3,2,1,1,5,0,4
0,18,1,1,1,3,1,1,1,3,0,1,2,1,0,0,0,1,1,1,1,1,5,3,3,1,1,4,16,2
